ID,Trait1_Yield,Trait2_Height
IND_001,8.61,83.03
IND_002,9.14,62.34
IND_003,9.00,86.43
IND_004,8.69,98.02
IND_005,6.67,95.36
IND_006,7.04,96.64
IND_007,9.26,73.77
IND_008,7.00,98.81
IND_009,5.47,70.92
IND_010,7.57,71.76
IND_011,7.46,86.61
IND_012,5.57,79.26
IND_013,9.14,72.11
IND_014,5.55,81.16
IND_015,7.85,93.58
IND_016,6.99,62.12
IND_017,7.87,92.03
IND_018,7.28,73.99
IND_019,9.90,67.00
IND_020,8.22,68.09
IND_021,8.65,73.37
IND_022,6.94,65.36
IND_023,5.92,87.41
IND_024,7.28,78.36
IND_025,7.68,80.63
IND_026,9.01,88.02
IND_027,9.79,89.89
IND_028,6.16,97.10
IND_029,6.06,74.83
IND_030,7.64,94.16
IND_031,7.12,86.93
IND_032,5.42,97.18
IND_033,9.78,88.01
IND_034,6.23,76.16
IND_035,5.91,76.49
IND_036,5.33,98.00
IND_037,5.60,92.07
IND_038,5.91,73.25
IND_039,8.86,86.17
IND_040,9.99,95.53
IND_041,9.50,67.95
IND_042,7.50,81.34
IND_043,9.65,68.48
IND_044,7.54,68.06
IND_045,6.33,98.40
IND_046,8.76,65.14
IND_047,8.77,72.50
IND_048,8.60,95.44
IND_049,6.58,61.17
IND_050,6.34,75.42
IND_051,6.06,72.54
IND_052,8.14,76.61
IND_053,7.96,97.44
IND_054,9.73,85.47
IND_055,8.34,80.12
IND_056,7.20,81.21
IND_057,6.84,67.09
IND_058,5.37,81.94
IND_059,9.69,88.00
IND_060,6.87,61.55
IND_061,6.51,98.07
IND_062,6.53,83.71
IND_063,9.72,86.29
IND_064,8.26,64.29
IND_065,7.29,70.65
IND_066,6.10,88.43
IND_067,7.05,97.92
IND_068,8.87,60.87
IND_069,7.56,72.32
IND_070,6.10,97.69
IND_071,5.47,74.53
IND_072,9.00,73.34
IND_073,8.35,90.45
IND_074,6.39,71.41
IND_075,5.92,80.97
IND_076,8.65,94.79
IND_077,7.22,61.46
IND_078,8.47,63.30
IND_079,7.16,82.25
IND_080,6.72,89.36
IND_081,9.76,62.36
IND_082,7.35,82.94
IND_083,6.02,87.68
IND_084,6.80,94.97
IND_085,5.77,90.33
IND_086,7.39,71.45
IND_087,7.52,83.20
IND_088,5.37,83.09
IND_089,5.86,70.64
IND_090,6.76,65.61
IND_091,6.90,74.46
IND_092,5.35,79.32
IND_093,9.11,65.69
IND_094,7.58,93.80
IND_095,7.72,72.92
IND_096,8.68,79.07
IND_097,7.95,76.23
IND_098,9.03,87.90
IND_099,9.65,93.69
IND_100,8.97,84.48